Country/Region,Date,Confirmed,Deaths,Recovered,Active,WHO Region
Afghanistan,22-01-2020,108933,705,699,108234,Eastern Mediterranean
Albania,22-01-2020,392235,354,856,391379,Europe
Algeria,22-01-2020,192063,1554,193,191870,Africa
Andorra,22-01-2020,386023,1659,837,385186,Europe
Angola,22-01-2020,44910,1304,502,44408,Africa
Antigua and Barbuda,22-01-2020,366212,543,1001,365211,Americas
Argentina,22-01-2020,370610,114,974,369636,Americas
Armenia,22-01-2020,398015,2244,270,397745,Europe
Australia,22-01-2020,447241,2404,335,446906,Western Pacific
Australia,22-01-2020,123012,813,964,122048,Western Pacific
Australia,22-01-2020,81212,1501,5,81207,Western Pacific
Australia,22-01-2020,96091,635,874,95217,Western Pacific
Australia,22-01-2020,272864,1689,1164,271700,Western Pacific
Australia,22-01-2020,163147,757,139,163008,Western Pacific
Australia,22-01-2020,163869,1353,396,163473,Western Pacific
Australia,22-01-2020,397687,274,163,397524,Western Pacific
Austria,22-01-2020,187556,318,1019,186537,Europe
Azerbaijan,22-01-2020,110292,151,667,109625,Europe
Bahamas,22-01-2020,388119,1006,231,387888,Americas
Bahrain,22-01-2020,367737,2171,597,367140,Eastern Mediterranean
Bangladesh,22-01-2020,386718,664,669,386049,South-East Asia
Barbados,22-01-2020,393562,794,59,393503,Americas
Belarus,22-01-2020,5809,2195,353,5456,Europe
Belgium,22-01-2020,76338,1199,1153,75185,Europe
Benin,22-01-2020,407044,81,804,406240,Africa
Bhutan,22-01-2020,231985,1315,1182,230803,South-East Asia
Bolivia,22-01-2020,201403,400,164,201239,Americas
Bosnia and Herzegovina,22-01-2020,255348,2015,489,254859,Europe
Brazil,22-01-2020,206398,964,1057,205341,Americas
Brunei,22-01-2020,185304,904,879,184425,Western Pacific
Bulgaria,22-01-2020,173049,388,255,172794,Europe
Burkina Faso,22-01-2020,330658,796,884,329774,Africa
Cabo Verde,22-01-2020,363409,404,644,362765,Africa
Cambodia,22-01-2020,245769,364,1169,244600,Western Pacific
Cameroon,22-01-2020,390869,1944,139,390730,Africa
Canada,22-01-2020,394911,2074,947,393964,Americas
Canada,22-01-2020,91067,2157,721,90346,Americas
Canada,22-01-2020,276187,1508,126,276061,Americas
Canada,22-01-2020,405823,1767,344,405479,Americas
Canada,22-01-2020,84990,1842,511,84479,Americas
Canada,22-01-2020,149591,532,205,149386,Americas
Canada,22-01-2020,127131,1209,1223,125908,Americas
Canada,22-01-2020,313911,1098,798,313113,Americas
Canada,22-01-2020,228420,1550,516,227904,Americas
Canada,22-01-2020,250054,1966,268,249786,Americas
Central African Republic,22-01-2020,49884,85,635,49249,Africa
Chad,22-01-2020,181337,908,451,180886,Africa
Chile,22-01-2020,242095,961,1045,241050,Americas
China,22-01-2020,377697,2021,1248,376449,Western Pacific
China,22-01-2020,249186,2212,526,248660,Western Pacific
China,22-01-2020,345757,825,744,345013,Western Pacific
China,22-01-2020,435474,520,1042,434432,Western Pacific
China,22-01-2020,436718,1940,728,435990,Western Pacific
China,22-01-2020,428744,332,1049,427695,Western Pacific
China,22-01-2020,253462,1717,22,253440,Western Pacific
China,22-01-2020,86237,692,216,86021,Western Pacific
China,22-01-2020,353191,1037,1193,351998,Western Pacific
China,22-01-2020,420676,434,341,420335,Western Pacific
China,22-01-2020,203469,492,477,202992,Western Pacific
China,22-01-2020,5934,539,326,5608,Western Pacific
China,22-01-2020,8585,1477,1060,7525,Western Pacific
China,22-01-2020,149093,429,642,148451,Western Pacific
China,22-01-2020,255255,1536,556,254699,Western Pacific
China,22-01-2020,216206,43,1210,214996,Western Pacific
China,22-01-2020,141237,1118,305,140932,Western Pacific
China,22-01-2020,401289,2211,400,400889,Western Pacific
China,22-01-2020,71961,668,260,71701,Western Pacific
China,22-01-2020,3361,716,674,2687,Western Pacific
China,22-01-2020,442107,1683,1054,441053,Western Pacific
China,22-01-2020,265535,308,684,264851,Western Pacific
China,22-01-2020,272295,471,1215,271080,Western Pacific
China,22-01-2020,17830,300,500,17330,Western Pacific
China,22-01-2020,237208,858,1092,236116,Western Pacific
China,22-01-2020,30058,2347,208,29850,Western Pacific
China,22-01-2020,250039,1942,750,249289,Western Pacific
China,22-01-2020,147769,1954,704,147065,Western Pacific
China,22-01-2020,374765,939,834,373931,Western Pacific
China,22-01-2020,60088,170,978,59110,Western Pacific
China,22-01-2020,86706,489,472,86234,Western Pacific
China,22-01-2020,447654,1227,794,446860,Western Pacific
China,22-01-2020,265022,2043,1133,263889,Western Pacific
Colombia,22-01-2020,363407,425,259,363148,Americas
